Country GPSC_PoPUNK2 Sample_accession Lane_accession
MALAWI 2 ERS726019 ERR1191903
MALAWI 2 ERS726023 ERR1202405
MALAWI 2 ERS726024 ERR1202406
MALAWI 2 ERS726010 ERR1202397
MALAWI 2 ERS726027 ERR1202409
MALAWI 2 ERS725978 ERR1202380
MALAWI 2 ERS726052 ERR1202423
MALAWI 2 ERS726034 ERR1202414
MALAWI 2 ERS625958 ERR869970
MALAWI 2 ERS726037 ERR1202416
MALAWI 2 ERS725936 ERR1202359
MALAWI 2 ERS625706 ERR869893
MALAWI 2 ERS625726 ERR869912
MALAWI 2 ERS214960 ERR316621
MALAWI 2 ERS725895 ERR1202339
MALAWI 2 ERS625716 ERR869903
MALAWI 2 ERS214927 ERR316588
MALAWI 2 ERS725881 ERR1202332
MALAWI 2 ERS725883 ERR1202333
MALAWI 2 ERS725463 ERR1288985
MALAWI 2 ERS725771 ERR1202185
MALAWI 2 ERS725440 ERR1288973
MALAWI 2 ERS725444 ERR1288975
MALAWI 2 ERS725458 ERR1288983
MALAWI 2 ERS725469 ERR1288988
MALAWI 2 ERS725442 ERR1288974
MALAWI 2 ERS725778 ERR1202188
MALAWI 2 ERS725465 ERR1288986
MALAWI 2 ERS725472 ERR1288989
MALAWI 2 ERS725473 ERR1202071
MALAWI 2 ERS399084 ERR516628
MALAWI 2 ERS215349 ERR311120
MALAWI 2 ERS215216 ERR316864
MALAWI 2 ERS215340 ERR311111
MALAWI 2 ERS399255 ERR516665
MALAWI 2 ERS215099 ERR316748
MALAWI 2 ERS215371 ERR311142
MALAWI 2 ERS399075 ERR516621
MALAWI 2 ERS726000 ERR1202305
MALAWI 2 ERS625387 ERR862259
MALAWI 2 ERS553402 ERR774595
MALAWI 2 ERS553455 ERR774625
MALAWI 2 ERS214980 ERR316638
MALAWI 2 ERS398974 ERR501595
MALAWI 2 ERS553503 ERR774649
MALAWI 2 ERS725352 ERR1288929
MALAWI 2 ERS725310 ERR1288910
MALAWI 2 ERS725350 ERR1288928
MALAWI 2 ERS725370 ERR1288937
MALAWI 2 ERS725342 ERR1288924
MALAWI 2 ERS726047 ERR1202508
MALAWI 2 ERS725878 ERR1202330
MALAWI 2 ERS553563 ERR774684
MALAWI 2 ERS726089 ERR1202530
MALAWI 2 ERS726097 ERR1202534
MALAWI 2 ERS726119 ERR1202545
MALAWI 2 ERS726115 ERR1202543
MALAWI 2 ERS726124 ERR1202548
MALAWI 2 ERS726123 ERR1202547
MALAWI 2 ERS726130 ERR1202551
MALAWI 2 ERS726106 ERR1202538
MALAWI 2 ERS813196 ERR1453519
MALAWI 2 ERS813183 ERR1453506
MALAWI 2 ERS726148 ERR1202560
MALAWI 2 ERS813182 ERR1453505
MALAWI 2 ERS625552 ERR862474
MALAWI 2 ERS625550 ERR862473
MALAWI 2 ERS813197 ERR1453520
MALAWI 2 ERS813167 ERR1453490
MALAWI 2 ERS726081 ERR1202526
MALAWI 2 ERS625987 ERR869999
MALAWI 2 ERS726072 ERR1202521
MALAWI 2 ERS726099 ERR1202535
MALAWI 2 ERS726112 ERR1202541
MALAWI 2 ERS726108 ERR1202539
MALAWI 2 ERS726144 ERR1202558
MALAWI 2 ERS813200 ERR1453523
MALAWI 2 ERS813198 ERR1453521
MALAWI 2 ERS813192 ERR1453515
MALAWI 2 ERS725917 ERR1202350
MALAWI 2 ERS725902 ERR1202342
MALAWI 2 ERS553398 ERR774591
MALAWI 2 ERS726174 ERR1202489
MALAWI 2 ERS553372 ERR774569
MALAWI 2 ERS399050 ERR501628
MALAWI 2 ERS725952 ERR1202367
MALAWI 2 ERS725974 ERR1202378
MALAWI 2 ERS725953 ERR1202368
MALAWI 2 ERS553493 ERR774644
MALAWI 2 ERS726153 ERR1202563
MALAWI 2 ERS725327 ERR1288918
MALAWI 2 ERS553389 ERR774582
MALAWI 2 ERS625722 ERR869908
MALAWI 2 ERS399059 ERR501629
MALAWI 2 ERS725945 ERR1202280
MALAWI 2 ERS725954 ERR1202283
MALAWI 2 ERS725962 ERR1202287
MALAWI 2 ERS725960 ERR1202286
MALAWI 2 ERS398799 ERR501561
MALAWI 2 ERS214970 ERR316629
MALAWI 2 ERS726164 ERR1202479
MALAWI 2 ERS553390 ERR774583
MALAWI 2 ERS725998 ERR1202304
MALAWI 2 ERS625640 ERR869831
MALAWI 2 ERS725908 ERR1202345
MALAWI 2 ERS553571 ERR774688
MALAWI 2 ERS726001 ERR1202306
MALAWI 2 ERS214981 ERR316639
MALAWI 2 ERS214928 ERR316589
MALAWI 2 ERS214925 ERR316586
MALAWI 2 ERS399226 ERR516655
MALAWI 2 ERS214985 ERR316642
MALAWI 2 ERS215001 ERR316657
MALAWI 2 ERS399067 ERR516618
MALAWI 2 ERS553567 ERR774686
MALAWI 2 ERS725906 ERR1202344
MALAWI 2 ERS725896 ERR1202254
MALAWI 2 ERS725901 ERR1202257
MALAWI 2 ERS553381 ERR774576
MALAWI 2 ERS725850 ERR1202316
MALAWI 2 ERS725904 ERR1202343
MALAWI 2 ERS553393 ERR774586
MALAWI 2 ERS399068 ERR501512
MALAWI 2 ERS726151 ERR1202562
MALAWI 2 ERS725928 ERR1202270
MALAWI 2 ERS725864 ERR1202323
MALAWI 2 ERS553561 ERR774683
MALAWI 2 ERS725944 ERR1202362
MALAWI 2 ERS215010 ERR316666
MALAWI 2 ERS553497 ERR774646
MALAWI 2 ERS725900 ERR1202341
MALAWI 2 ERS214939 ERR316600
MALAWI 2 ERS553377 ERR774572
MALAWI 2 ERS726038 ERR1202503
MALAWI 2 ERS725887 ERR1202335
MALAWI 2 ERS625403 ERR862332
THE GAMBIA 2 ERS497115 ERR714194
THE GAMBIA 2 ERS1813507 ERR2089221
THE GAMBIA 2 ERS497153 ERR714205
THE GAMBIA 2 ERS497165 ERR714208
THE GAMBIA 2 ERS497175 ERR714211
THE GAMBIA 2 ERS497193 ERR714217
THE GAMBIA 2 ERS497212 ERR714222
THE GAMBIA 2 ERS1813494 ERR2089207
THE GAMBIA 2 ERS497228 ERR714226
THE GAMBIA 2 ERS497240 ERR714229
THE GAMBIA 2 ERS497243 ERR714230
THE GAMBIA 2 ERS497247 ERR714231
THE GAMBIA 2 ERS497251 ERR714232
THE GAMBIA 2 ERS1813518 ERR2089231
THE GAMBIA 2 ERS497259 ERR714234
THE GAMBIA 2 ERS497263 ERR714235
THE GAMBIA 2 ERS497266 ERR714236
THE GAMBIA 2 ERS497270 ERR714237
THE GAMBIA 2 ERS654400 ERR913419
THE GAMBIA 2 ERS497399 ERR714103
THE GAMBIA 2 ERS497110 ERR714106
THE GAMBIA 2 ERS497124 ERR714112
THE GAMBIA 2 ERS497127 ERR714113
THE GAMBIA 2 ERS497163 ERR714122
THE GAMBIA 2 ERS497230 ERR714133
THE GAMBIA 2 ERS497277 ERR714145
THE GAMBIA 2 ERS497308 ERR714153
THE GAMBIA 2 ERS497311 ERR714154
THE GAMBIA 2 ERS497319 ERR714156
THE GAMBIA 2 ERS497327 ERR714158
THE GAMBIA 2 ERS497341 ERR714162
THE GAMBIA 2 ERS497353 ERR714165
THE GAMBIA 2 ERS497380 ERR714173
THE GAMBIA 2 ERS497410 ERR714183
THE GAMBIA 2 ERS497413 ERR714184
THE GAMBIA 2 ERS497422 ERR714187
THE GAMBIA 2 ERS497425 ERR714273
THE GAMBIA 2 ERS497119 ERR714276
THE GAMBIA 2 ERS497133 ERR714280
THE GAMBIA 2 ERS497137 ERR714281
THE GAMBIA 2 ERS497156 ERR714286
THE GAMBIA 2 ERS497174 ERR714291
THE GAMBIA 2 ERS654388 ERR913244
THE GAMBIA 2 ERS497195 ERR714298
THE GAMBIA 2 ERS497211 ERR714302
THE GAMBIA 2 ERS497225 ERR714305
THE GAMBIA 2 ERS497245 ERR714310
THE GAMBIA 2 ERS497250 ERR714311
THE GAMBIA 2 ERS497258 ERR714313
THE GAMBIA 2 ERS497289 ERR714320
THE GAMBIA 2 ERS497325 ERR714328
THE GAMBIA 2 ERS497360 ERR714336
THE GAMBIA 2 ERS654393 ERR913249
THE GAMBIA 2 ERS497128 ERR714348
THE GAMBIA 2 ERS497145 ERR714352
THE GAMBIA 2 ERS497150 ERR714353
THE GAMBIA 2 ERS497154 ERR714354
THE GAMBIA 2 ERS497170 ERR714358
THE GAMBIA 2 ERS497185 ERR714363
THE GAMBIA 2 ERS497194 ERR714366
THE GAMBIA 2 ERS497202 ERR714368
THE GAMBIA 2 ERS497206 ERR714369
THE GAMBIA 2 ERS497210 ERR714370
THE GAMBIA 2 ERS497214 ERR714371
THE GAMBIA 2 ERS497235 ERR714376
THE GAMBIA 2 ERS497260 ERR714382
THE GAMBIA 2 ERS497264 ERR714383
THE GAMBIA 2 ERS497291 ERR714390
THE GAMBIA 2 ERS497310 ERR714395
THE GAMBIA 2 ERS497314 ERR714396
THE GAMBIA 2 ERS497343 ERR714403
THE GAMBIA 2 ERS497367 ERR714409
THE GAMBIA 2 ERS497373 ERR714411
THE GAMBIA 2 ERS497391 ERR714417
THE GAMBIA 2 ERS497394 ERR714418
THE GAMBIA 2 ERS497418 ERR714426
THE GAMBIA 2 ERS497433 ERR714432
THE GAMBIA 2 ERS497434 ERR714433
THE GAMBIA 2 ERS497437 ERR714436
THE GAMBIA 2 ERS497441 ERR714440
THE GAMBIA 2 ERS525224 ERR730500
THE GAMBIA 2 ERS525225 ERR730501
THE GAMBIA 2 ERS627017 ERR862288
THE GAMBIA 2 ERS627022 ERR870052
THE GAMBIA 2 ERS627055 ERR870066
THE GAMBIA 2 ERS627056 ERR870067
THE GAMBIA 2 ERS627100 ERR870091
THE GAMBIA 2 ERS627103 ERR870093
THE GAMBIA 2 ERS627104 ERR862307
THE GAMBIA 2 ERS627109 ERR862308
THE GAMBIA 2 ERS627126 ERR870107
THE GAMBIA 2 ERS627002 ERR870112
THE GAMBIA 2 ERS627064 ERR870128
THE GAMBIA 2 ERS627076 ERR870132
THE GAMBIA 2 ERS627092 ERR870137
THE GAMBIA 2 ERS627132 ERR870150
THE GAMBIA 2 ERS627203 ERR870210
THE GAMBIA 2 ERS627208 ERR870214
THE GAMBIA 2 ERS627210 ERR870216
THE GAMBIA 2 ERS627215 ERR870221
THE GAMBIA 2 ERS627218 ERR870224
THE GAMBIA 2 ERS627220 ERR870226
THE GAMBIA 2 ERS627223 ERR870229
THE GAMBIA 2 ERS627231 ERR870237
THE GAMBIA 2 ERS627240 ERR870246
THE GAMBIA 2 ERS627244 ERR870250
THE GAMBIA 2 ERS627246 ERR870252
THE GAMBIA 2 ERS627249 ERR870255
THE GAMBIA 2 ERS627256 ERR870262
THE GAMBIA 2 ERS627279 ERR870284
THE GAMBIA 2 ERS627303 ERR870308
THE GAMBIA 2 ERS627317 ERR870322
THE GAMBIA 2 ERS627321 ERR870326
THE GAMBIA 2 ERS654343 ERR913209
THE GAMBIA 2 ERS654345 ERR913211
THE GAMBIA 2 ERS654560 ERR913462
THE GAMBIA 2 ERS654561 ERR913373
THE GAMBIA 2 ERS654563 ERR913374
THE GAMBIA 2 ERS686005 ERR997474
THE GAMBIA 2 ERS686184 ERR997671
THE GAMBIA 2 ERS686198 ERR997684
THE GAMBIA 2 ERS686216 ERR997701
THE GAMBIA 2 ERS686219 ERR984240
THE GAMBIA 2 ERS719751 ERR1191975
THE GAMBIA 2 ERS719718 ERR1192012
THE GAMBIA 2 ERS719899 ERR1192104
THE GAMBIA 2 ERS719920 ERR1192125
THE GAMBIA 2 ERS745526 ERR1430824
THE GAMBIA 2 ERS745527 ERR1430825
THE GAMBIA 2 ERS745528 ERR1430826
THE GAMBIA 2 ERS745529 ERR1430827
THE GAMBIA 2 ERS745530 ERR1430828
THE GAMBIA 2 ERS745531 ERR1430829
THE GAMBIA 2 ERS745532 ERR1430830
THE GAMBIA 2 ERS745535 ERR1430833
THE GAMBIA 2 ERS745536 ERR1430834
THE GAMBIA 2 ERS745537 ERR1430835
THE GAMBIA 2 ERS745538 ERR1430836
THE GAMBIA 2 ERS745539 ERR1430837
